2020-09-30 05:28:06,585, CALLERID(number)=0000000000, UNIQUEID=1601468886.2514, CHANNEL=SIP/685-00000542, name=outgoing-by-calling-extension
2020-09-30 05:28:08,878, CALLERID(number)=0000000000, UNIQUEID=1601468886.2514, CHANNEL=SIP/685-00000542, name=outgoing_detroit_menu
2020-09-30 05:28:13,314, CALLERID(number)=0000000000, UNIQUEID=1601468886.2514, CHANNEL=SIP/685-00000542, name=outgoing-dialtone-wrapper
2020-09-30 05:28:19,340, CALLERID(number)=0000000000, UNIQUEID=1601468886.2514, CHANNEL=SIP/685-00000542, name=macro-filterdial
2020-09-30 05:28:19,710, CALLERID(number)=0000000000, UNIQUEID=1601468886.2514, CHANNEL=SIP/685-00000542, name=macro-dial
2020-09-30 05:28:34,934, CALLERID(number)=0000000000, UNIQUEID=1601468886.2514, CHANNEL=SIP/685-00000542, name=outgoing-dialstatus-ANSWER-twilio-termination
2020-09-30 05:56:04,302, CALLERID(number)=0000000000, UNIQUEID=1601470564.2518, CHANNEL=SIP/685-00000544, name=outgoing-by-calling-extension
2020-09-30 05:56:04,848, CALLERID(number)=0000000000, UNIQUEID=1601470564.2518, CHANNEL=SIP/685-00000544, name=outgoing_detroit_menu
2020-09-30 05:56:08,830, CALLERID(number)=0000000000, UNIQUEID=1601470564.2518, CHANNEL=SIP/685-00000544, name=outgoing-dialtone-wrapper
2020-09-30 05:56:13,950, CALLERID(number)=0000000000, UNIQUEID=1601470564.2518, CHANNEL=SIP/685-00000544, name=macro-filterdial
2020-09-30 05:56:14,337, CALLERID(number)=0000000000, UNIQUEID=1601470564.2518, CHANNEL=SIP/685-00000544, name=macro-dial
2020-09-30 07:21:31,057, CALLERID(number)=0000000000, UNIQUEID=1601475690.2523, CHANNEL=SIP/660-00000547, name=outgoing-by-calling-extension
2020-09-30 07:21:31,171, CALLERID(number)=0000000000, UNIQUEID=1601475690.2523, CHANNEL=SIP/660-00000547, name=hold_the_phone_main
2020-09-30 07:22:21,096, CALLERID(number)=0000000000, UNIQUEID=1601475690.2523, CHANNEL=SIP/660-00000547, name=missed_connections_info
2020-09-30 07:56:46,619, CALLERID(number)=0000000000, UNIQUEID=1601477806.2525, CHANNEL=SIP/655-00000548, name=outgoing-by-calling-extension
2020-09-30 07:56:47,787, CALLERID(number)=0000000000, UNIQUEID=1601477806.2525, CHANNEL=SIP/655-00000548, name=outgoing_portland_menu
2020-09-30 07:56:48,303, CALLERID(number)=0000000000, UNIQUEID=1601477806.2525, CHANNEL=SIP/655-00000548, name=outgoing-dialtone-wrapper
2020-09-30 07:56:53,762, CALLERID(number)=0000000000, UNIQUEID=1601477806.2525, CHANNEL=SIP/655-00000548, name=macro-filterdial
2020-09-30 07:56:54,136, CALLERID(number)=0000000000, UNIQUEID=1601477806.2525, CHANNEL=SIP/655-00000548, name=macro-dial
2020-09-30 08:02:56,586, CALLERID(number)=0000000000, UNIQUEID=1601478176.2528, CHANNEL=SIP/655-0000054a, name=outgoing-by-calling-extension
2020-09-30 08:02:58,317, CALLERID(number)=0000000000, UNIQUEID=1601478176.2528, CHANNEL=SIP/655-0000054a, name=outgoing_portland_menu
2020-09-30 08:03:01,133, CALLERID(number)=0000000000, UNIQUEID=1601478176.2528, CHANNEL=SIP/655-0000054a, name=outgoing-dialtone-wrapper
2020-09-30 08:03:06,983, CALLERID(number)=0000000000, UNIQUEID=1601478176.2528, CHANNEL=SIP/655-0000054a, name=macro-filterdial
2020-09-30 08:03:07,358, CALLERID(number)=0000000000, UNIQUEID=1601478176.2528, CHANNEL=SIP/655-0000054a, name=macro-dial
2020-09-30 08:35:49,750, CALLERID(number)=0000000000, UNIQUEID=1601480149.2531, CHANNEL=SIP/voipms-0000054c, name=default-incoming
2020-09-30 08:35:49,864, CALLERID(number)=0000000000, UNIQUEID=1601480149.2531, CHANNEL=SIP/voipms-0000054c, name=incoming-ivr
2020-09-30 08:36:02,589, CALLERID(number)=0000000000, UNIQUEID=1601480149.2531, CHANNEL=SIP/voipms-0000054c, name=community-incoming
2020-09-30 08:36:09,457, CALLERID(number)=0000000000, UNIQUEID=1601480149.2531, CHANNEL=SIP/voipms-0000054c, name=futel-conf
2020-09-30 09:26:10,780, CALLERID(number)=0000000000, UNIQUEID=1601483170.2535, CHANNEL=SIP/655-0000054d, name=outgoing-by-calling-extension
2020-09-30 09:26:11,943, CALLERID(number)=0000000000, UNIQUEID=1601483170.2535, CHANNEL=SIP/655-0000054d, name=outgoing_portland_menu
2020-09-30 09:26:12,721, CALLERID(number)=0000000000, UNIQUEID=1601483170.2535, CHANNEL=SIP/655-0000054d, name=outgoing-dialtone-wrapper
2020-09-30 09:26:22,894, CALLERID(number)=0000000000, UNIQUEID=1601483170.2535, CHANNEL=SIP/655-0000054d, name=macro-filterdial
2020-09-30 09:26:23,267, CALLERID(number)=0000000000, UNIQUEID=1601483170.2535, CHANNEL=SIP/655-0000054d, name=macro-dial
2020-09-30 09:27:05,340, CALLERID(number)=0000000000, UNIQUEID=1601483225.2538, CHANNEL=SIP/655-0000054f, name=outgoing-by-calling-extension
2020-09-30 09:27:05,800, CALLERID(number)=0000000000, UNIQUEID=1601483225.2538, CHANNEL=SIP/655-0000054f, name=outgoing_portland_menu
2020-09-30 09:27:07,481, CALLERID(number)=0000000000, UNIQUEID=1601483225.2538, CHANNEL=SIP/655-0000054f, name=outgoing-dialtone-wrapper
2020-09-30 09:27:14,598, CALLERID(number)=0000000000, UNIQUEID=1601483225.2538, CHANNEL=SIP/655-0000054f, name=macro-filterdial
2020-09-30 09:27:14,972, CALLERID(number)=0000000000, UNIQUEID=1601483225.2538, CHANNEL=SIP/655-0000054f, name=macro-dial
2020-09-30 09:27:25,361, CALLERID(number)=0000000000, UNIQUEID=1601483225.2538, CHANNEL=SIP/655-0000054f, name=outgoing-dialstatus-BUSY-twilio-termination
2020-09-30 09:27:32,890, CALLERID(number)=0000000000, UNIQUEID=1601483252.2542, CHANNEL=SIP/655-00000551, name=outgoing-by-calling-extension
2020-09-30 09:27:33,813, CALLERID(number)=0000000000, UNIQUEID=1601483252.2542, CHANNEL=SIP/655-00000551, name=outgoing_portland_menu
2020-09-30 09:27:34,108, CALLERID(number)=0000000000, UNIQUEID=1601483252.2542, CHANNEL=SIP/655-00000551, name=outgoing-dialtone-wrapper
2020-09-30 09:27:50,775, CALLERID(number)=0000000000, UNIQUEID=1601483270.2543, CHANNEL=SIP/655-00000552, name=outgoing-by-calling-extension
2020-09-30 09:27:52,099, CALLERID(number)=0000000000, UNIQUEID=1601483270.2543, CHANNEL=SIP/655-00000552, name=outgoing_portland_menu
2020-09-30 09:27:52,910, CALLERID(number)=0000000000, UNIQUEID=1601483270.2543, CHANNEL=SIP/655-00000552, name=outgoing-dialtone-wrapper
